Geolocation,Major Occupation,year,quarter,Female,Male
REGION IVA,Elementary Occupations,2019,Q4,462.542,802.726
NCR,Managers,2019,Q2,460.372,410.381
PHILIPPINES,Craft and Related Trades Workers,2021,Q2,458.86366666666663,2529.538666666667
REGION IVA,Elementary Occupations,2019,Q1,456.744,881.055
PHILIPPINES,Craft and Related Trades Workers,2019,Q4,456.04,2829.249
REGION IVA,Elementary Occupations,2021,Q3,455.01366666666667,1084.944
NCR,Managers,2020,Q1,454.649,396.067
REGION IVA,Elementary Occupations,2018,Q4,453.935,800.166
NCR,Managers,2018,Q1,448.821,393.268
NCR,Managers,2018,Q2,448.7,412.267
REGION III,Elementary Occupations,2021,Q3,447.461,914.7296666666666
REGION III,Managers,2018,Q3,446.563,473.308
NCR,Clerical Support Workers,2019,Q1,440.5,345.595
NCR,Clerical Support Workers,2019,Q3,439.0,323.0
REGION VII,Service and Sales Workers,2020,Q1,436.771,280.445
NCR,Managers,2018,Q3,435.604,383.575
PHILIPPINES,Craft and Related Trades Workers,2018,Q4,435.056,2773.997
REGION IVA,Elementary Occupations,2020,Q2,434.35,820.784
NCR,Clerical Support Workers,2019,Q2,430.998,308.202
REGION VII,Service and Sales Workers,2021,Q4,430.20666666666665,268.51733333333334
NCR,Clerical Support Workers,2021,Q3,424.38733333333334,314.6906666666667
REGION III,Elementary Occupations,2021,Q4,423.21066666666667,1021.6233333333333
REGION IVA,Elementary Occupations,2018,Q1,421.92,745.432
REGION X,Elementary Occupations,2021,Q4,421.37600000000003,556.6983333333334
REGION III,Elementary Occupations,2019,Q3,420.81,914.05
REGION III,Service and Sales Workers,2018,Q1,419.176,402.696
NCR,Managers,2019,Q4,419.058,452.696
PHILIPPINES,Craft and Related Trades Workers,2018,Q1,417.556,2548.631
PHILIPPINES,Craft and Related Trades Workers,2020,Q3,416.983,2571.735
NCR,Clerical Support Workers,2020,Q3,415.023,291.802
PHILIPPINES,Craft and Related Trades Workers,2020,Q4,414.663,2487.249
NCR,Clerical Support Workers,2020,Q2,414.131,297.842
NCR,Managers,2019,Q3,414.0,435.0
REGION VI,Service and Sales Workers,2021,Q3,407.4173333333333,231.18200000000002
REGION VII,Service and Sales Workers,2019,Q2,405.97,256.758
REGION VII,Service and Sales Workers,2021,Q3,405.31933333333336,238.64733333333334
REGION IVA,Elementary Occupations,2020,Q4,403.797,863.134
NCR,Clerical Support Workers,2018,Q4,399.884,305.263
REGION VI,Service and Sales Workers,2021,Q2,398.92966666666666,252.79266666666663
REGION III,Service and Sales Workers,2018,Q4,398.262,305.397
NCR,Managers,2019,Q1,397.328,372.52
REGION IVA,Elementary Occupations,2018,Q2,395.812,813.308
REGION III,Elementary Occupations,2021,Q2,395.632,1002.1163333333334
NCR,Elementary Occupations,2021,Q4,392.705,664.6063333333333
NCR,Managers,2021,Q2,392.558,241.389
NCR,Elementary Occupations,2019,Q3,389.0,565.0
REGION III,Elementary Occupations,2020,Q1,387.992,892.514
REGION VII,Service and Sales Workers,2019,Q4,387.112,264.341
PHILIPPINES,Plant and Machine Operators and Assemblers,2021,Q3,386.75033333333334,3094.254333333333
NCR,Elementary Occupations,2020,Q2,386.316,585.304
REGION III,Elementary Occupations,2020,Q3,386.001,1089.828
REGION III,Managers,2018,Q1,384.385,518.58
REGION III,Elementary Occupations,2018,Q2,383.377,758.062
REGION III,Service and Sales Workers,2020,Q2,382.352,325.848
NCR,Clerical Support Workers,2020,Q4,382.026,280.186
NCR,Elementary Occupations,2019,Q4,380.666,523.875
REGION IVA,Elementary Occupations,2021,Q1,379.91866666666664,916.7413333333334
NCR,Elementary Occupations,2021,Q2,378.25066666666663,662.7446666666666
NCR,Elementary Occupations,2018,Q3,378.197,555.6
REGION III,Service and Sales Workers,2018,Q2,377.822,358.795
REGION VI,Service and Sales Workers,2020,Q1,376.587,251.536
REGION X,Elementary Occupations,2019,Q2,376.138,490.465
REGION X,Elementary Occupations,2018,Q1,374.637,520.973
NCR,Clerical Support Workers,2018,Q2,373.538,284.011
